subject,gender,age
859671,F,31-35
861456,F,31-35
865363,M,22-25
867468,M,22-25
869472,F,22-25
870861,M,31-35
871762,M,26-30
871964,M,26-30
872158,F,26-30
872562,F,31-35
872764,F,26-30
873968,F,22-25
876873,F,26-30
877168,F,31-35
877269,F,22-25
878574,F,26-30
878776,M,22-25
878877,M,26-30
880157,M,31-35
882161,F,26-30
884064,F,31-35
884973,F,31-35
885975,F,26-30
886674,M,22-25
887373,F,31-35
888678,M,26-30
889579,M,31-35
891667,M,26-30
894067,M,31-35
894673,F,26-30
894774,M,26-30
896778,F,31-35
896879,M,26-30
898176,M,31-35
899885,F,26-30
901038,M,26-30
901139,F,26-30
901442,F,26-30
902242,F,36+
904044,F,31-35
905147,F,36+
907656,F,31-35
908860,M,26-30
910241,M,26-30
910443,F,26-30
911849,F,31-35
912447,M,26-30
912548,F,31-35
915554,M,22-25
917255,M,31-35
917558,F,31-35
919158,F,31-35
919966,F,31-35
922854,M,26-30
923755,F,26-30
926862,M,26-30
927359,M,22-25
929464,F,26-30
930449,F,22-25
932554,M,26-30
933253,F,26-30
937160,M,26-30
940553,M,22-25
942658,M,26-30
943862,M,26-30
946666,M,31-35
947668,F,26-30
951457,F,31-35
952863,F,22-25
953764,F,31-35
955465,M,26-30
957974,F,26-30
958976,M,26-30
959069,M,31-35
959574,F,26-30
962058,M,26-30
965367,M,31-35
965771,M,31-35
966975,M,22-25
969476,M,31-35
970764,F,22-25
971160,M,26-30
972566,F,31-35
973770,M,22-25
978578,F,31-35
979984,F,31-35
983773,M,26-30
984472,F,26-30
987074,M,22-25
987983,F,26-30
989987,M,31-35
990366,M,22-25
991267,M,26-30
992673,F,31-35
992774,M,31-35
993675,F,26-30
994273,M,26-30
995174,M,22-25
996782,F,26-30
